batch	avg_loss	avg_acc	batch_acc	perp
125	2.754	0.104	0.143	15.711
126	2.754	0.104	0.096	15.706
127	2.754	0.104	0.109	15.701
128	2.754	0.104	0.096	15.703
129	2.754	0.104	0.111	15.704
130	2.754	0.104	0.100	15.705
131	2.754	0.104	0.094	15.705
1	2.721	0.129	0.129	15.200
2	2.732	0.112	0.094	15.358
3	2.730	0.111	0.109	15.335
4	2.729	0.111	0.109	15.317
5	2.726	0.115	0.133	15.266
6	2.722	0.119	0.141	15.217
7	2.722	0.120	0.125	15.218
8	2.723	0.117	0.093	15.229
9	2.724	0.116	0.111	15.248
10	2.723	0.116	0.114	15.219
11	2.720	0.119	0.145	15.173
12	2.719	0.118	0.109	15.158
13	2.721	0.116	0.094	15.192
14	2.719	0.115	0.095	15.162
15	2.720	0.115	0.115	15.178
16	2.720	0.113	0.092	15.178
17	2.719	0.112	0.100	15.171
18	2.721	0.112	0.109	15.191
19	2.721	0.112	0.107	15.191
20	2.720	0.112	0.107	15.182
21	2.722	0.111	0.100	15.208
22	2.722	0.111	0.104	15.205
23	2.721	0.111	0.117	15.195
24	2.720	0.111	0.119	15.182
25	2.718	0.111	0.102	15.155
26	2.717	0.112	0.125	15.133
27	2.719	0.111	0.100	15.163
28	2.719	0.111	0.117	15.165
29	2.719	0.112	0.117	15.162
30	2.719	0.111	0.102	15.169
31	2.718	0.111	0.104	15.157
32	2.719	0.111	0.105	15.161
33	2.719	0.111	0.109	15.164
34	2.720	0.110	0.090	15.177
35	2.719	0.110	0.110	15.159
36	2.719	0.110	0.113	15.161
37	2.719	0.110	0.094	15.162
38	2.718	0.110	0.110	15.152
39	2.718	0.110	0.111	15.156
40	2.718	0.110	0.127	15.148
41	2.718	0.110	0.119	15.142
42	2.717	0.110	0.098	15.130
43	2.716	0.110	0.121	15.114
44	2.716	0.111	0.117	15.123
45	2.717	0.111	0.119	15.132
46	2.717	0.110	0.098	15.139
47	2.717	0.111	0.143	15.131
48	2.717	0.111	0.094	15.138
49	2.718	0.111	0.104	15.143
50	2.718	0.110	0.088	15.150
51	2.718	0.110	0.113	15.153
52	2.718	0.110	0.107	15.151
53	2.719	0.110	0.117	15.162
54	2.718	0.110	0.094	15.157
55	2.719	0.110	0.102	15.161
56	2.720	0.110	0.092	15.175
57	2.720	0.109	0.098	15.180
58	2.720	0.109	0.117	15.175
59	2.720	0.109	0.104	15.176
60	2.719	0.110	0.119	15.169
61	2.720	0.110	0.111	15.173
62	2.719	0.109	0.105	15.171
63	2.720	0.109	0.100	15.178
64	2.719	0.109	0.111	15.167
65	2.719	0.110	0.125	15.170
66	2.720	0.110	0.107	15.174
67	2.719	0.110	0.111	15.169
68	2.720	0.110	0.105	15.175
69	2.719	0.109	0.107	15.170
70	2.720	0.109	0.076	15.187
